time,semantic_deficit,quotient_refinement,policy_preservation,false_compression
0,0.25,0.00024031171281892628,0.8501081402707685,0.14989185972923147
1,0.25,0.0002685453374722486,0.8501208454018625,0.15735963860125116
2,0.25,0.0003000950646873989,0.8501350427791093,0.16470919477616203
3,0.25,0.0003353501304664781,0.8501509075587099,0.17182544418645293
4,0.25,0.000374745396772145,0.8501686354285475,0.1785968968877047
5,0.25,0.0004187666844443735,0.850188445008,0.18491739136842777
6,0.25,0.00046795672563293525,0.8502105805265348,0.1906877450748653
7,0.25,0.0005229218067633642,0.8502353148130435,0.19581729532111813
8,0.25,0.0005843391809575104,0.8502629526314308,0.20022530645704298
9,0.25,0.0006529653375526923,0.8502938344018987,0.20384222124404705
10,0.25,0.0007296452259752728,0.8503283403516888,0.20661073680964637
11,0.25,0.0008153225417963822,0.8503668951438084,0.20848668827758096
12,0.25,0.0009110511944006454,0.8504099730374802,0.20943972615876305
13,0.25,0.0010180080884028542,0.8504581036397812,0.20945377679260865
14,0.25,0.001137507364817683,0.850511878314168,0.20852727849826824
15,0.25,0.001271016263081358,0.8505719573183866,0.20667318957819497
16,0.25,0.0014201727813867393,0.8506390777516241,0.20391876785791685
17,0.25,0.0015868053304513101,0.8507140623987031,0.20030512499040407
18,0.25,0.0017729545947921428,0.8507978295676565,0.1958865622456188
19,0.25,0.0019808978357979267,0.8508914040261091,0.19072969789108724
20,0.25,0.0022131758922829784,0.8509959291515273,0.18491239949471006
21,0.25,0.0024726231566347743,0.8511126804204856,0.17852253749611974
22,0.25,0.0027624008278954197,0.8512430803725529,0.171656579150587
23,0.25,0.0030860337668107457,0.8513887151950648,0.1644180444067405
24,0.25,0.0034474513015635634,0.8515513530857036,0.1569158473978884
25,0.25,0.003851032355930255,0.8517329645601686,0.1492625489735923
26,0.25,0.0043016552930929,0.8519357448818918,0.14157254704630168
27,0.25,0.004804752887159518,0.8521621387992218,0.13396023245665695
28,0.25,0.0053663728491087845,0.852414867782099,0.12653813855652385
29,0.25,0.005993244342482293,0.852696959954117,0.11941511276398648
30,1.2,0.0066928509242848554,0.3030117829159281,0.6626945379595313
31,1.2,0.007473510335193645,0.3033630796508371,0.6564726307748987
32,1.2,0.008344461536550052,0.3037550076914475,0.6508368425900768
33,1.2,0.009315959345066686,0.30419218170527995,0.6458643874212409
