opportunity_value,safety_value
0.601568860114961,0.33634085983630013
0.31067927694960495,0.8436029227041212
0.5398534303315001,0.4288162526416638
0.7444738612739611,0.6016426210628395
0.1465632045786852,0.9462454918654595
0.17102676454511634,1.05
0.3493588073646229,1.05
0.7088063735726521,0.3614637751860611
0.9519269003737462,0.3259114648949304
0.4065186683396017,0.39627542668030247
0.001006830032312278,1.0419564140863777
0.036180671192198255,1.05
0.3871656357717753,0.5310585386056572
0.2115063644910714,1.05
0.992275315786321,0.0736426621721394
0.6811577816954085,0.591889132752092
0.931761273343871,0.12146696890356878
0.07400596628290701,1.05
0.51237504601849,0.32102912030111475
0.5556265821414825,0.3415157682618367
0.18803777765823815,1.05
0.8729787705482925,0.5081763810101194
0.36312722160653566,0.737904114793618
0.9230740147390353,0.23019560184631663
0.13208324913383118,1.0165936795276034
0.02096188716093983,0.931368576440626
0.702136017335448,0.42607301997568026
0.41688667163309756,0.31175880373014264
0.16633684405665672,0.9872374276187036
0.1810305131818848,1.05
0.8786098781222196,0.5718159128566187
0.35538472289376233,0.6589193551146741
0.6914055391231297,0.5312765628633463
0.32885004738511225,0.5015893321629132
0.03450952038717536,1.05
0.731176544827265,0.4348075002219049
0.04968066822844752,1.0302734318279982
0.34731663644839184,0.588378216840252
0.41271784316906623,0.2513207283687118
0.9939332673284431,0.10762174099896307
0.8437127536061247,0.7370354972516895
0.44892644948989835,0.3090542829119455
0.7597387559939246,0.7419666139129306
0.5532271486324324,0.23109158941588173
0.713753276098707,0.5526814182767565
0.5727594926787793,0.36264720148782315
0.7485312362215771,0.512093797884654
0.41996176230392457,0.5645123337801035
0.7267722058312855,0.7794233213520587
0.3617835380282217,0.5844024727424066
0.4951096299561566,0.33290322710629927
0.10434822001311217,1.05
0.0824705103818556,0.9385393064549495
0.7696098577476896,0.3903088500085966
0.435529412385955,0.42391091007016235
0.006527311135975045,0.8587518204702345
0.6540647118889457,0.44372056966702367
0.8146216427661336,0.6748324473650569
0.13550803416974544,1.05
0.903646814916547,0.6151174113273523
0.5644547713419346,0.30324620050649254
0.2393941541582162,1.05
0.9659911384043933,0.3652534130311103
0.8141329260723916,0.4642832344879101
0.14815028123600327,0.9849828052748275
0.3076402193212666,0.6127493951003108
0.09527470619568368,1.05
0.6208387618772793,0.3657543280592919
0.5853738564680587,0.4256637285240567
0.8432685297862359,0.7323986495724227
0.9434726464676815,0.3557258435726086
0.5414884467881335,0.24335666763822789
0.7657988252103193,0.5858993241232312
0.5112723828541027,0.15052533408589122
0.5085995828060643,0.12893674178721873
0.4143066269306803,0.521992089526869
0.39309075293559703,0.5420740624383769
0.8274661567495685,0.5216352065769928
0.8207437789486903,0.7476324418569968
0.14152649367003878,0.9129119463724503
0.13292210416637606,1.05
0.05724621235289895,1.05
0.7487416928398019,0.36364196439648167
0.8315645200523769,0.6156850323007769
0.5701684536293538,0.3886938179462397
0.6764163142526664,0.2631542161846307
0.815493279845308,0.5417570013658927
0.5586445425530047,0.5068415013856432
0.07199312838124328,0.8979804302881073
0.2265390947023036,1.0114524476555993
0.9585577331385416,0.1464898390550814
0.4071059771522243,0.6795217388927848
0.34503989944540137,0.6698123060621711
0.8559179327571196,0.5462918127997571
0.33621888214172413,0.652112812639366
0.7018829252194485,0.4794113971274567
0.07716438048562457,1.0248122025256279
0.14707100465364642,1.05
0.9722245138483149,0.26512169199863617
0.002235068069691537,1.05
0.9231567923545023,0.31419290252977417
0.47063263487300067,0.39929211574315837
0.5185510223366337,0.13007072192524552
0.5193250218746759,0.3613375853770122
0.8939162289335251,0.41554541608893714
0.7250293968677635,0.5143746045881378
0.8058200791623513,0.3926404384872511
0.46186620706892967,0.4669634257128096
0.8221804429252038,0.6958714404545469
0.1282889560903927,1.05
0.5777461555297798,0.3241771582342709
0.3902132066999867,0.6407817087078759
0.9729299884478693,0.321593337685704
0.5593056747800855,0.26005111179740914
0.6481369710587458,0.6411867498674306
0.2182995213969824,1.05
0.4442048772963886,0.5174003995428469
0.6493173035917764,0.5122929326860157
0.6296601929886347,0.4275807865943528
0.20448714295477777,1.05
0.8266118921633329,0.4831123448613165
0.038333669094057776,0.9964959644363861
0.8400051857642669,0.4662504030524548
0.514852989220485,0.24295403610900937
0.49011705380020254,0.2958313921231832
0.769059522804241,0.3749838112311299
0.3359502022374089,0.6102211785814988
