evaluation_deficit,ranking_accuracy,salience_substitution,proxy_dependence,coarse_preference,value_drift
0.0,0.9525741268224334,0.03732688734412946,0.032295464698450516,0.09975048911968513,0.047425873177566635
0.015151515151515152,0.9497598158378522,0.040146614869015974,0.03424419538741704,0.10532648666205953,0.050240184162147816
0.030303030303030304,0.946787829226089,0.043169796738827766,0.03630610220594026,0.11117568682207296,0.05321217077391105
0.045454545454545456,0.9436504638932114,0.046409627528643714,0.038487212611965915,0.11730712567139347,0.05634953610678861
0.06060606060606061,0.940339776980825,0.04987992770951667,0.040793807855587595,0.12372964577021317,0.05966022301917495
0.07575757575757576,0.9368475957123457,0.053595136670774694,0.04323242517525516,0.1304518294438791,0.06315240428765434
0.09090909090909091,0.9331655299833717,0.05757029850821911,0.04580985875898425,0.13748192676966997,0.06683447001662834
0.10606060606060606,0.9292849879728564,0.06182103944476575,0.04853315928310747,0.1448277784415326,0.07071501202714359
0.12121212121212122,0.9251971950590383,0.06636353566964749,0.05140963182580708,0.15249673378782308,0.0748028049409617
0.13636363636363635,0.9208932163279934,0.07121447031298533,0.054446831937449994,0.16049556433644088,0.07910678367200663
0.15151515151515152,0.9163639829624134,0.07639097821958031,0.057652559634911706,0.16883037345227264,0.08363601703758661
0.16666666666666669,0.9116003227929417,0.0819105771553252,0.061034851072991926,0.1775065027120738,0.08839967720705832
0.18181818181818182,0.9065929952831678,0.08779108407875372,0.0646019676331216,0.18652843582969877,0.09340700471683216
0.19696969696969696,0.9013327312012502,0.09405051514686025,0.0683623821583471,0.1958997010971464,0.09866726879874976
0.21212121212121213,0.8958102772050519,0.1007069682070933,0.07232476205463288,0.20562277346072716,0.10418972279494809
0.2272727272727273,0.8900164455326726,0.10777848666553141,0.07649794897251343,0.21569897750258452,0.10998355446732744
0.24242424242424243,0.88394216894533,0.11528290382404435,0.08089093478078968,0.2261283927409619,0.11605783105467005
0.25757575757575757,0.877578561013787,0.12323766705581705,0.0855128335461222,0.23690976279254125,0.12242143898621305
0.2727272727272727,0.8709169817721657,0.13165964154718446,0.09037284923991448,0.24804041005099794,0.1290830182278343
0.2878787878787879,0.8639491086834133,0.1405648937808896,0.09548023890775084,0.2595161576214017,0.13605089131658665
0.30303030303030304,0.8566670127685516,0.1499684554757283,0.1008442710578463,0.2713312603040062,0.14333298723144838
0.3181818181818182,0.8490632396471,0.15988406933066315,0.10647417905449393,0.28347834643724207,0.15093676035290005
0.33333333333333337,0.8411308951190849,0.17032391864384583,0.11237910934135678,0.29594837238283755,0.1588691048809151
0.3484848484848485,0.8328637347906587,0.1812983436788652,0.11856806436860767,0.30873059136126707,0.16713626520934133
0.36363636363636365,0.8242562571069199,0.1928155485154765,0.1250498401582302,0.3218125382196991,0.17574374289308015
0.3787878787878788,0.8153037990090656,0.204881303026068,0.13183295851398008,0.33518003153537895,0.18469620099093442
0.3939393939393939,0.8060026332811442,0.21749864553013346,0.13892559396707646,0.34881719422487734,0.1939973667188558
0.4090909090909091,0.7963500664977807,0.230667592556964,0.146335495645887,0.3627064935459173,0.20364993350221927
0.42424242424242425,0.786344536332371,0.2443848629441622,0.15406990436757267,0.37682880104787736,0.213655463667629
0.4393939393939394,0.7759857068401083,0.2586436241629873,0.16213546537133217,0.3911634726562153,0.22401429315989174
0.4545454545454546,0.7652745601971698,0.2734332692338575,0.17053813724548678,0.405688448673852,0.23472543980283023
0.4696969696969697,0.7542134832622553,0.28873923281902947,0.17928309774256607,0.4203803730599769,0.24578651673774465
0.48484848484848486,0.7428063472356178,0.30454285500057826,0.18837464732553497,0.43521473091641394,0.2571936527643822
0.5,0.7310585786300049,0.320821300824607,0.19781611144141825,0.45016600268752205,0.2689414213699951
0.5151515151515151,0.7189772197436636,0.3375475428846734,0.20760974267219434,0.4652078331760931,0.2810227802563364
0.5303030303030303,0.706570976843413,0.3546904130143905,0.21775662406260998,0.48031321310933855,0.29342902315658703
0.5454545454545454,0.693850254330627,0.37221472756910906,0.22825657506553487,0.4954546706695396,0.30614974566937303
0.5606060606060607,0.6808271732785296,0.390081488832981,0.2391080616720724,0.5106044701455439,0.3191728267214704
0.5757575757575758,0.667515572897731,0.40824816285070686,0.2503081123998933,0.525734814674166,0.332484427102269
0.5909090909090909,0.6539309937088769,0.4266690315388257,0.26185224189293216,0.5408180499321575,0.34606900629112314
0.6060606060606061,0.6400906414750341,0.44529561438784854,0.2737343839324382,0.5558268656141252,0.35990935852496586
0.6212121212121212,0.6260133312681233,0.46407715254877174,0.2859468356674362,0.5707344915906213,0.3739866687318767
0.6363636363636364,0.6117194114071615,0.4829611457389907,0.29848021483653425,0.5855148857812137,0.38828058859283854
0.6515151515151515,0.5972306674028254,0.5018939303358942,0.31132343166826104,0.6001429109940423,0.4027693325971746
0.6666666666666667,0.5825702064623146,0.5208212853727431,0.32446367701054585,0.6145944982675495,0.4174297935376854
0.6818181818181819,0.5677623235383434,0.5396890520110545,0.3378864280500015,0.6288467945907081,0.43223767646165656
0.696969696969697,0.5528323503326417,0.5584437515072637,0.351575472738692,0.6428782932621984,0.44716764966735834
0.7121212121212122,0.537806489073151,0.5770331867537734,0.3655129537525439,0.6566689455625142,0.462193510926849
0.7272727272727273,0.5227116332606392,0.5954070131517605,0.37967943246629743,0.6702002528413269,0.4772883667393608
0.7424242424242424,0.507575177910776,0.6135172658228409,0.39405397305198375,0.6834553385512693,0.492424822089224
0.7575757575757576,0.492424822089224,0.6313188319118138,0.40861424640069977,0.6964190001751633,0.507575177910776
0.7727272727272727,0.47728836673936087,0.6487698588680115,0.4233366531422681,0.709077741384586,0.5227116332606392
0.7878787878787878,0.462193510926849,0.6658320919939261,0.4381964646071342,0.7214197851233694,0.537806489073151
0.8030303030303031,0.4471676496673583,0.682471137083237,0.45316798015365295,0.7334350686221589,0.5528323503326418
0.8181818181818182,0.4322376764616564,0.6986566465036652,0.46822469888628876,0.7451152216137691,0.5677623235383435
0.8333333333333334,0.4174297935376853,0.7143624294910559,0.4833395034305887,0.7564535292304043,0.5825702064623147
0.8484848484848485,0.40276933259717457,0.7295664896054884,0.4984848531225772,0.7674448812216408,0.5972306674028254
0.8636363636363636,0.38828058859283854,0.7442509941770684,0.5136329837253494,0.7780857092372558,0.6117194114071615
